texto,emocao
me sinto um fardo para os outros,tristeza
a esperança parece estar fora do meu alcance,tristeza
cada dia parece uma batalha que estou destinado a perder,tristeza
a sensação de ser inadequado é avassaladora,tristeza
não consigo escapar do ciclo de negatividade,tristeza
sinto-me perdido em um labirinto de emoções negativas,tristeza
a sensação de estar preso em minha própria mente é angustiante,tristeza
a tristeza parece um peso insuportável sobre meus ombros,tristeza
não consigo encontrar uma luz no fim do túnel,tristeza
sinto-me como se estivesse afundando em um mar de tristeza,tristeza
o mundo ao meu redor parece desmoronar,tristeza
sinto-me ansioso com o futuro, ansiedade
cada pequeno problema me causa um grande estresse, ansiedade
não consigo relaxar minha mente está sempre agitada, ansiedade
a sensação de estar constantemente sob pressão é esmagadora, ansiedade
cada pensamento parece uma espiral descendente, ansiedade
sinto meu coração acelerar sem motivo aparente, ansiedade
a sensação de estar no limite me consome, ansiedade
não consigo parar de pensar nas piores possibilidades, ansiedade
a preocupação constante é exaustiva, ansiedade
sinto-me como se estivesse sempre correndo contra o tempo, ansiedade
a incerteza do futuro me deixa inquieto, ansiedade
não consigo encontrar paz de espírito, ansiedade
a sensação de estar fora de controle é assustadora, ansiedade
me sinto vulnerável e exposto, ansiedade
a sensação de estar sempre à beira de um ataque de pânico é opressiva, ansiedade
não consigo me concentrar em nada minha mente está sempre divagando, ansiedade
cada decisão parece uma escolha impossível, ansiedade
a sensação de estar preso em um ciclo interminável de preocupações é sufocante, ansiedade
não consigo encontrar uma saída para o labirinto de pensamentos negativos, ansiedade
a sensação de estar constantemente em alerta é desgastante, ansiedade
sinto-me como se estivesse constantemente lutando contra um inimigo invisível, ansiedade
a falta de controle sobre minhas próprias emoções é angustiante, ansiedade
não consigo relaxar nem por um momento, ansiedade
a sensação de estar sempre na corda bamba é estressante, ansiedade
a sensação de estar sempre sendo observado é sufocante, ansiedade
não consigo escapar do ciclo vicioso de preocupação e medo, ansiedade
a sensação de estar constantemente à beira de um colapso é aterrorizante, ansiedade
a ansiedade parece uma sombra que me segue por toda parte, ansiedade
sinto-me como se estivesse sempre correndo contra o tempo, ansiedade
a preocupação constante me impede de desfrutar o momento presente, ansiedade
sinto-me revigorado após fazer exercícios físicos,energia
a sensação de superar meus limites me dá uma enorme energia,energia
o sol brilhante me enche de vitalidade,energia
cada novo desafio me motiva a dar o meu melhor,energia
a sensação de estar vivo e cheio de energia é contagiante,energia
a música animada me faz querer dançar e celebrar a vida,energia
sinto uma explosão de energia depois de uma boa noite de sono,energia
a adrenalina correndo nas minhas veias me dá um impulso extra,energia
o aroma de café fresco pela manhã me desperta e me dá energia,energia
cada passo que dou é cheio de determinação e energia,energia
a sensação de estar no controle da minha vida me enche de energia,energia
o entusiasmo das pessoas ao meu redor me contagia e me dá energia,energia
a sensação de estar no caminho certo me enche de energia positiva,energia
sinto-me como se pudesse conquistar o mundo tamanha é minha energia,energia
a sensação de realização após alcançar meus objetivos me dá uma energia renovada,energia
a emoção de estar em sintonia com meu corpo me dá uma energia inigualável,energia
a sensação de liberdade ao correr ao ar livre me dá uma energia indescritível,energia
a paixão pelo que faço me dá uma energia inesgotável,energia
a sensação de estar conectado com o universo me dá uma energia transcendental,energia
o riso contagiante das crianças me enche de energia e alegria,energia
sinto-me como se estivesse flutuando nas nuvens tamanho é meu amor,amor
a sensação de ser amado incondicionalmente me preenche de amor,amor
o brilho nos olhos da pessoa amada me faz sentir borboletas no estômago,amor
cada gesto de carinho me faz sentir mais próximo da pessoa amada,amor
o calor do abraço da pessoa amada me faz sentir seguro e protegido,amor
a cumplicidade compartilhada entre eu e a pessoa amada me faz sentir completo,amor
a sensação de pertencer a alguém me dá uma sensação de amor profundo,amor
cada palavra de apoio da pessoa amada me dá forças para seguir em frente,amor
o sentimento de ser amado é como um bálsamo para minha alma,amor
a sensação de estar apaixonado é como uma montanha-russa de emoções,amor
o brilho nos olhos da pessoa amada é como o sol iluminando meu dia,amor
a sensação de estar nos braços da pessoa amada é como estar em casa,amor
cada momento ao lado da pessoa amada é como um presente precioso,amor
o amor que sinto pela pessoa amada é como uma chama que nunca se apaga,amor
a sensação de ser amado me dá uma energia renovada para enfrentar os desafios da vida,amor
o amor que sinto é como uma fonte inesgotável de felicidade e paz,amor
cada troca de olhares com a pessoa amada é como uma promessa de amor eterno,amor
o toque suave da pessoa amada é como uma poesia escrita em minha pele,amor
o amor que sinto transcende todas as barreiras e limites,amor
a sensação de estar apaixonado é como estar nas nuvens,amor
o sentimento de conexão profunda com a pessoa amada é como uma âncora em meio à tempestade,amor
a sensação de ser amado me dá uma força interior que nada pode abalar,amor
o amor que sinto é como uma luz brilhante que ilumina meu caminho,amor
cada novo dia é uma oportunidade de espalhar amor e bondade,amor
o amor que compartilhamos é como um tesouro precioso,amor
a energia do amor é contagiosa e transformadora,amor
a sensação de ser amado me dá uma confiança inabalável,amor
o amor é a força que impulsiona o universo,amor
a energia do amor é como um rio fluindo constantemente,amor
a cada batida do meu coração sinto o pulsar do amor,amor
o amor é a cola que une todas as coisas,amor
a energia do amor é como um fogo que arde eternamente,amor
cada gesto de amor é como uma nota em uma sinfonia celestial,amor
a energia do amor é como um ímã que atrai almas afins,amor
o amor que sinto é como uma chama que aquece minha alma,amor
cada vez que digo "eu te amo" sinto o universo conspirando a nosso favor,amor
a energia do amor é como um farol que guia meu caminho na escuridão,amor
o amor é a linguagem universal que todos entendem,amor
a energia do amor é como uma correnteza que nos leva a novos horizontes,amor
cada sorriso trocado é uma expressão do amor que nos une,amor
o amor é a essência de tudo o que é belo e verdadeiro,amor
a energia do amor é como um elixir que cura todas as feridas,amor
cada abraço dado é uma prova do amor que compartilhamos,amor
o amor é a luz que dissipa todas as trevas,amor
a energia do amor é como um sol que nunca se põe,amor
cada momento ao seu lado é um presente do universo,amor
o amor é a resposta para todas as perguntas,amor
a energia do amor é como uma onda que nos envolve e nos acolhe,amor
cada olhar trocado é um elo que une nossas almas,amor
o amor é a fonte de toda a verdadeira felicidade,amor
a energia do amor é como uma corrente elétrica que percorre todo o meu ser,amor
cada palavra de amor é como uma flor que desabrocha em meu coração,amor
o amor é a força mais poderosa do universo,amor
a energia do amor é como um ímã que atrai todas as coisas boas,amor
sinto-me paralisado pela ansiedade que me consome , ansiedade
a sensação de estar constantemente sob pressão é avassaladora, ansiedade
cada pensamento negativo alimenta minha ansiedade, ansiedade
a preocupação constante me impede de desfrutar a vida, ansiedade
sinto-me como se estivesse preso em um ciclo interminável de preocupações, ansiedade
a ansiedade parece uma sombra que me segue por toda parte, ansiedade
a tristeza dentro de mim é como uma ferida que nunca cicatriza,tristeza
cada dia parece uma batalha que estou destinado a perder,tristeza
não consigo encontrar uma luz no fim do túnel,tristeza
a dor dentro de mim parece insuportável,tristeza
sinto-me desconectado de tudo e de todos,tristeza
a raiva borbulha dentro de mim como um vulcão em erupção, raiva
cada insulto é como um golpe direto no meu coração, raiva
a sensação de ser injustiçado me deixa furioso, raiva
a raiva me consome como um fogo que queima sem controle, raiva
sinto-me como se estivesse à beira de um ataque de fúria, raiva
o medo se apodera de mim como uma sombra sinistra,medo
a sensação de estar constantemente em alerta é desgastante,medo
cada passo que dou parece uma escolha entre coragem e covardia,medo
o medo paralisa meus movimentos e minha mente,medo
sinto-me como se estivesse sempre correndo de alguma ameaça invisível,medo
a sensação de estar preso em um ciclo de medo é sufocante,medo
sinto-me como se estivesse constantemente à beira de um colapso nervoso, ansiedade
a sensação de estar preso em minha própria mente é sufocante, ansiedade
a tristeza parece uma sombra que paira sobre minha alma,tristeza
cada lágrima derramada é uma expressão da minha dor interior,tristeza
a raiva é como um veneno que corrói meu coração, raiva
a sensação de impotência diante das injustiças me enfurece, raiva
cada insulto é como uma faca que corta profundamente, raiva
o medo é como uma sombra que obscurece meu pensamento,medo
a sensação de estar sempre olhando por cima do ombro é assustadora,medo
cada ruído no escuro é uma fonte de terror,medo
o medo é como uma prisão que me impede de viver plenamente,medo
