texto,emocao
quando você sorri todo o meu dia se ilumina,amor
você é a melhor parte de mim,amor
cada detalhe seu é perfeito aos meus olhos,amor
você é a razão do meu sorriso,amor
não há lugar onde eu prefira estar a não ser ao seu lado,amor
seu abraço é meu lugar favorito,amor
você é o amor da minha vida,amor
meu coração é seu desde o primeiro momento em que te vi,amor
você me completa de uma maneira única,amor
não existe distância que possa separar o que sinto por você,amor
você é o sonho que eu nunca soube que tinha,amor
meu maior desejo é fazer você feliz,amor
você é o melhor presente que a vida me deu,amor
cada segundo contigo é uma bênção,amor
sinto que fui feito para amar você,amor
não há palavras para descrever o que sinto por você,amor
você é o meu paraíso na terra,amor
meus pensamentos estão sempre com você,amor
você é minha inspiração diária,amor
não há nada que eu não faria por você,amor
seu amor é o meu combustível,amor
você é minha razão de viver,amor
nada se compara ao calor do seu abraço,amor
você é o sol que ilumina meus dias,amor
sua presença é meu maior presente,amor
cada momento ao seu lado é uma memória que guardarei para sempre,amor
você é o melhor que aconteceu na minha vida,amor
não há lugar onde eu me sinta mais eu do que ao seu lado,amor
sua essência irradia amor,amor
você é minha fonte de felicidade infinita,amor
cada beijo seu é um sonho realizado,amor
seu amor é o que me mantém forte nos momentos difíceis,amor
minha maior alegria é fazer você sorrir,amor
não suporto mais essa situação,raiva
você me deixou completamente furioso,raiva
estou cansado de ser tratado assim,raiva
não aguento mais suas desculpas,raiva
você me decepcionou mais uma vez,raiva
não suporto mais essa injustiça,raiva
estou farto de esperar por você,raiva
não tolero mais suas mentiras,raiva
sua arrogância me irrita profundamente,raiva
não quero mais saber de você,raiva
estou cansado de ser pisado por você,raiva
não me incomode mais,raiva
estou farto dessa situação,raiva
sua indiferença me enche de raiva,raiva
não admito mais ser desrespeitado por você,raiva
você me irrita além da conta,raiva
já chega! Estou cansado de tolerar suas atitudes,raiva
não aguento mais essa palhaçada,raiva
não suporto mais sua presença,raiva
estou farto de ter que lidar com seus problemas,raiva
não quero mais saber de você na minha vida,raiva
você me deixou muito bravo com sua falta de consideração,raiva
não tolero mais seu comportamento infantil,raiva
estou cansado de ser tratado como um objeto por você,raiva
não aguento mais sua teimosia,raiva
não me provoque mais,raiva
sua falta de empatia me irrita profundamente,raiva
não admito mais suas desculpas esfarrapadas,raiva
você me tira do sério,raiva
não tolero mais sua presença tóxica na minha vida,raiva
não suporto mais sua manipulação,raiva
O amor que nos une é mais forte do que qualquer obstáculo,amor
Você é a pessoa dos meus sonhos,amor
Nada pode se comparar ao amor que sinto por você,amor
A cada dia meu amor por você só cresce,amor
Sua presença enche meu coração de felicidade,amor
Você é minha inspiração,amor
Sinto-me sozinho nesta escuridão,tristeza
As lágrimas não param de cair,tristeza
Meu coração está pesado de tristeza,tristeza
A dor parece insuportável,tristeza
Não consigo encontrar alegria em nada,tristeza
Tudo ao meu redor parece cinza,tristeza
Estou afundando em um mar de tristeza,tristeza
Nada parece ter sentido mais,tristeza
Cada lembrança dói como uma ferida aberta,tristeza
Sinto-me perdido e desamparado,tristeza
A tristeza parece me consumir por dentro,tristeza
Não encontro motivação para seguir em frente,tristeza
Os dias parecem mais sombrios do que nunca,tristeza
A solidão é minha única companhia,tristeza
Sinto-me vazio e sem esperança,tristeza
Não consigo parar de pensar no que poderia ter sido,tristeza
Cada sorriso é apenas uma máscara para esconder minha tristeza,tristeza
A tristeza é como uma sombra que me segue em todos os lugares,tristeza
Meus olhos refletem a dor que sinto por dentro,tristeza
Estou cheio de energia para começar o dia,energia
Sinto uma energia renovada após uma boa noite de sono,energia
Cada célula do meu corpo está vibrando de energia,energia
A energia positiva me envolve e me impulsiona,energia
Tenho uma explosão de energia dentro de mim,energia
Estou transbordando de energia e entusiasmo,energia
Sinto uma energia contagiante em tudo ao meu redor,energia
A energia do sol me revigora e me faz sentir vivo,energia
Minha mente está clara e cheia de energia criativa,energia
Estou pronto para enfrentar qualquer desafio com minha energia interior,energia
A música me dá uma injeção de energia instantânea,energia
Cada movimento é impulsionado por uma energia poderosa,energia
Sinto uma energia elétrica correndo pelo meu corpo,energia
Estou carregado de energia positiva e pronta para enfrentar o mundo,energia
Minha paixão me dá uma fonte infinita de energia,energia
Sinto-me revigorado e cheio de energia depois de fazer exercícios,energia
A energia da natureza me inspira e me renova,energia
Meu coração está cheio de uma energia radiante e contagiante,energia
Cada momento é uma oportunidade de canalizar minha energia,energia
Sinto um amor incondicional por você,amor
Cada gesto seu aquece meu coração de amor,amor
Você é o meu porto seguro o meu amor verdadeiro,amor
Não consigo imaginar minha vida sem o seu amor,amor
Meu amor por você cresce a cada dia que passa,amor
Você é a razão do meu sorriso do meu amor,amor
Minha vida é infinitamente melhor com o seu amor ao meu lado,amor
Sua presença em minha vida é um presente de amor,amor
Meu amor por você é mais profundo do que palavras podem expressar,amor
A cada batida do meu coração sinto seu amor pulsando em mim,amor
Estou com tanto amor transbordando em meu coração,amor
Cada momento ao seu lado é uma bênção de amor,amor
Nada pode separar o nosso amor ele é eterno,amor
Você é a minha pessoa favorita meu amor eterno,amor
Sua amorosidade é a luz que ilumina os meus dias,amor
Meu amor por você é tão forte que ultrapassa todas as barreiras,amor
O amor que sinto por você é a essência da minha existência,amor
Não há nada que eu não faria pelo seu amor,amor
Você é o meu destino o meu amor verdadeiro,amor
Seu amor é o que dá sentido à minha vida,amor
Estou furioso com sua atitude,raiva
Sua falta de consideração me deixa extremamente irritado,raiva
Não consigo acreditar no que você fez estou cheio de raiva,raiva
Estou farto das suas desculpas estou com muita raiva,raiva
Sua incompetência está me deixando furioso,raiva
Como você pode ser tão insensível? estou com raiva,raiva
Estou cansado de ser tratado assim estou com raiva,raiva
Você ultrapassou todos os limites estou extremamente irritado,raiva
Estou fumegando de raiva por dentro,raiva
Essa situação é completamente inaceitável estou cheio de raiva,raiva
Você me decepcionou profundamente estou com muita raiva,raiva
Sua falta de respeito está me deixando furioso,raiva
Estou farto das suas mentiras estou com raiva,raiva
Nada me tira mais do sério do que sua arrogância,raiva
Você conseguiu me deixar extremamente irritado,raiva
Estou com tanta raiva que mal consigo me controlar,raiva
Você mexeu com a pessoa errada estou furioso,raiva
Sua indiferença me magoa profundamente estou com raiva,raiva
Estou tão irritado que preciso de um tempo para me acalmar,raiva
Me sinto inquieto o tempo todo,ansiedade
Minha mente não para de pensar no pior,ansiedade
Cada momento parece uma eternidade,ansiedade
Não consigo me concentrar em nada,ansiedade
O coração dispara sem motivo aparente,ansiedade
Sinto como se algo terrível estivesse prestes a acontecer,ansiedade
Estou sempre à beira do colapso,ansiedade
Nada me acalma,ansiedade
O futuro parece assustador demais,ansiedade
Minhas mãos tremem sem controle,ansiedade
Tudo parece ameaçador,ansiedade
Não importa o que faça a sensação de pânico não passa,ansiedade
A sensação de estar constantemente em perigo,ansiedade
Sinto como se estivesse sufocando,ansiedade
A incerteza do amanhã me paralisa,ansiedade
Me sinto como se estivesse preso em um loop infinito de preocupações,ansiedade
Estou sempre alerta,ansiedade
A sensação de estar sempre à beira do abismo,ansiedade
O medo do desconhecido me consome,ansiedade
Sinto como se estivesse em uma montanha-russa emocional constante,ansiedade
estou cheio de energia para enfrentar o dia,energia
sinto uma grande vitalidade dentro de mim,energia
cada desafio me motiva a buscar mais energia,energia
me sinto revigorado após uma boa noite de sono,energia
praticar exercícios físicos me dá uma energia extra,energia
a natureza é uma fonte inesgotável de energia,energia
estou cheio de disposição para começar novos projetos,energia
sinto uma energia renovada após momentos de meditação,energia
o sol da manhã me dá uma energia revigorante,energia
a música me enche de energia positiva,energia
estou repleto de energia criativa para expressar minhas ideias,energia
cada pessoa que conheço me transmite uma energia única,energia
a energia da gratidão transforma minha vida,energia
sinto uma energia contagiante em momentos de celebração,energia
cada sorriso que recebo me enche de energia,energia
a energia da paixão move montanhas,energia
a energia da solidariedade fortalece nossos laços,energia
meu coração transborda de energia amorosa,energia
a energia da esperança ilumina meu caminho,energia
sinto uma energia intensa quando estou perto de pessoas queridas,energia
a energia da perseverança me impulsiona a seguir em frente,energia
estou cheio de energia para realizar meus sonhos,energia
sinto uma energia renovadora ao contemplar o nascer do sol,energia
a energia da natureza é uma fonte inesgotável de inspiração,energia
a energia da criatividade flui livremente dentro de mim,energia
estou cheio de energia para enfrentar qualquer desafio,energia
a energia da alegria contagia todos ao meu redor,energia
cada obstáculo superado me enche de energia positiva,energia
sinto uma energia vibrante em cada célula do meu corpo,energia
a energia da gratidão transforma minha vida,energia
sinto um vazio dentro de mim,tristeza
cada sorriso esconde minha tristeza interior,tristeza
a solidão é minha única companhia,tristeza
meus pensamentos estão nublados pela tristeza,tristeza
a tristeza me consome lentamente,tristeza
não consigo encontrar motivos para sorrir,tristeza
a tristeza é como uma sombra que me persegue,tristeza
me sinto perdido em um mar de tristeza,tristeza
cada lembrança me faz sentir mais triste,tristeza
a dor da tristeza é como uma ferida aberta,tristeza
meu coração está envolto em uma névoa de tristeza,tristeza
a tristeza é uma nuvem escura que paira sobre mim,tristeza
não encontro consolo em lugar algum,tristeza
a tristeza é como um peso que carrego nas costas,tristeza
sinto-me afogando em um mar de tristeza,tristeza
meus olhos refletem a tristeza que habita em mim,tristeza
a tristeza é uma ferida que não cicatriza,tristeza
me sinto vazio por dentro,tristeza
a tristeza é um eco que ressoa dentro de mim,tristeza
cada suspiro é carregado de tristeza,tristeza
a tristeza é como uma tempestade que nunca passa,tristeza
não consigo encontrar saída para minha tristeza,tristeza
meu coração está partido em mil pedaços,tristeza
a tristeza é um labirinto do qual não consigo sair,tristeza
sinto-me perdido em um abismo de tristeza,tristeza
a tristeza é como uma sombra que me segue por toda parte,tristeza
não consigo encontrar conforto em lugar algum,tristeza
cada dia é uma batalha contra a tristeza,tristeza
a tristeza é como um manto que me cobre,tristeza
sinto-me preso em um ciclo interminável de tristeza,tristeza
meu coração está acelerado de ansiedade,ansiedade
sinto um nó na garganta de tanta ansiedade,ansiedade
a ansiedade me consome aos poucos,ansiedade
não consigo me concentrar devido à ansiedade,ansiedade
a ansiedade é como uma sombra que me persegue,ansiedade
me sinto sufocado pela ansiedade,ansiedade
cada pensamento é dominado pela ansiedade,ansiedade
a ansiedade é como uma tempestade que não passa,ansiedade
sinto um aperto no peito causado pela ansiedade,ansiedade
cada segundo é uma luta contra a ansiedade,ansiedade
a ansiedade é como um fogo que queima por dentro,ansiedade
não encontro paz devido à ansiedade constante,ansiedade
meus pensamentos estão sempre voltados para a ansiedade,ansiedade
sinto uma sensação de inquietação causada pela ansiedade,ansiedade
a ansiedade é como um peso que carrego nas costas,ansiedade
meu corpo está tenso devido à ansiedade,ansiedade
a ansiedade é como uma prisão da qual não consigo escapar,ansiedade
sinto uma angústia constante causada pela ansiedade,ansiedade
cada passo é dado com medo devido à ansiedade,ansiedade
a ansiedade é como uma nuvem escura que paira sobre mim,ansiedade
não consigo encontrar alívio para minha ansiedade,ansiedade
sinto-me encurralado pela ansiedade,ansiedade
a ansiedade é como uma maré alta que me arrasta,ansiedade
meu sono é perturbado pela ansiedade,ansiedade
não consigo encontrar saída para minha ansiedade,ansiedade
a ansiedade é como um labirinto do qual não consigo sair,ansiedade
sinto-me preso em um ciclo vicioso de ansiedade,ansiedade
a ansiedade é como um monstro que me assombra,ansiedade
não encontro consolo em lugar algum devido à ansiedade,ansiedade
meus dias são dominados pela ansiedade,ansiedade
a ansiedade é como uma ferida aberta que não cicatriza,ansiedade
sinto um arrepio na espinha de tanto medo,medo
a simples ideia me enche de medo,medo
não consigo dormir devido ao medo,medo
cada som me faz pular de susto devido ao medo,medo
a sensação de medo é avassaladora,medo
não consigo me mover devido ao medo paralisante,medo
cada sombra me parece uma ameaça,medo
a presença do desconhecido me enche de medo,medo
sinto um frio na barriga causado pelo medo,medo
a sensação de medo é como uma âncora que me puxa para baixo,medo
não consigo encontrar coragem para enfrentar meus medos,medo
a sensação de medo é como uma sombra que me segue,medo
cada pensamento é dominado pelo medo,medo
a ansiedade me consome aos poucos,medo
sinto um aperto no peito causado pelo medo,medo
cada segundo é uma luta contra o medo,medo
a sensação de medo é como uma tempestade que não passa,medo
não encontro paz devido ao medo constante,medo
meus pensamentos estão sempre voltados para o medo,medo
sinto uma sensação de inquietação causada pelo medo,medo
a sensação de medo é como um peso que carrego nas costas,medo
meu corpo está tenso devido ao medo,medo
não consigo encontrar alívio para meu medo,medo
sinto-me encurralado pelo medo,medo
cada passo é dado com medo,medo
a sensação de medo é como uma nuvem escura que paira sobre mim,medo
não consigo encontrar saída para meu medo,medo
sinto-me preso em um ciclo vicioso de medo,medo
o medo é como um monstro que me assombra,medo
não encontro consolo em lugar algum devido ao medo,medo
meus dias são dominados pelo medo,medo
a sensação de medo é como uma ferida aberta que não cicatriza,medo
cada dia é uma bênção,alegria
não há nada que me faça mais feliz do que isso,alegria
a alegria é como um raio de sol em um dia nublado,alegria
cada sorriso é uma fonte de alegria,alegria
meu coração transborda de alegria,alegria
a alegria é contagiante,alegria
não consigo conter minha felicidade,alegria
a sensação de alegria é indescritível,alegria
cada pequeno momento de alegria é precioso,alegria
a vida é mais bonita quando vivida com alegria,alegria
não há presente maior do que a alegria de viver,alegria
cada obstáculo superado é motivo de alegria,alegria
a alegria está no ar,alegria
não há nada que me faça mais feliz do que estar ao seu lado,alegria
a alegria é como uma música que embala minha alma,alegria
nada se compara à alegria de ver um sonho realizado,alegria
a vida é cheia de pequenos momentos de alegria,alegria
a alegria é como uma chama que ilumina meu caminho,alegria
não há tristeza que resista à alegria genuína,alegria
cada dia é uma oportunidade de encontrar alegria,alegria
a alegria está nas coisas simples da vida,alegria
não há lugar para a tristeza onde há alegria,alegria
a alegria é um presente que vale a pena ser compartilhado,alegria
cada dia é uma nova chance de ser feliz,alegria
não há nada que me faça mais feliz do que seu sorriso,alegria
